design,collection,best_tm,best_tm_partner,best_sid_global,mmseqs_fident,mmseqs_cov,gate_reject
mythos_preview_multi_target_trem2_rank29,Anthropic,0.8782,HACK_calm-ant-jade,35.9375,,,False
mythos_preview_multi_target_trem2_rank30,Anthropic,0.7262,HACK_gentle-swan-clay,41.666666666666664,,,False
mythos_preview_single_target_trem2_rank01,Anthropic,0.8477,HACK_solid-ox-moss,40.298507462686565,,,False
mythos_preview_single_target_trem2_rank02,Anthropic,0.939,HACK_wild-otter-pearl,39.473684210526315,,,False
mythos_preview_single_target_trem2_rank03,Anthropic,0.9146,HACK_wild-otter-pearl,37.254901960784316,77.7,11.799999999999999,False
mythos_preview_single_target_trem2_rank04,Anthropic,0.9265,HACK_silent-moth-topaz,43.13725490196079,,,False
mythos_preview_single_target_trem2_rank05,Anthropic,0.8697,HACK_vast-quail-pine,38.1578947368421,,,False
mythos_preview_single_target_trem2_rank06,Anthropic,0.8044,HACK_wild-raven-ruby,41.666666666666664,38.0,33.900000000000006,False
mythos_preview_single_target_trem2_rank07,Anthropic,0.8291,HACK_vast-quail-pine,38.1578947368421,,,False
mythos_preview_single_target_trem2_rank08,Anthropic,0.8557,HACK_wild-raven-ruby,37.5,72.7,14.499999999999998,False
mythos_preview_single_target_trem2_rank09,Anthropic,0.8721,HACK_silent-moth-topaz,36.8421052631579,63.1,25.0,False
mythos_preview_single_target_trem2_rank10,Anthropic,0.9041,HACK_shy-bat-pearl,39.682539682539684,45.4,47.599999999999994,False
mythos_preview_single_target_trem2_rank11,Anthropic,0.8466,HACK_vast-quail-pine,42.30769230769231,45.1,75.6,False
mythos_preview_single_target_trem2_rank12,Anthropic,0.838,HACK_shy-gecko-moss,43.54838709677419,,,False
mythos_preview_single_target_trem2_rank13,Anthropic,0.8512,HACK_silver-seal-oak,40.298507462686565,,,False
mythos_preview_single_target_trem2_rank14,Anthropic,0.8824,HACK_pale-heron-quartz,45.714285714285715,,,False
mythos_preview_single_target_trem2_rank15,Anthropic,0.9091,HACK_calm-bison-willow,40.0,58.8,24.3,False
mythos_preview_single_target_trem2_rank16,Anthropic,0.8479,HACK_misty-lion-opal,41.666666666666664,,,False
mythos_preview_single_target_trem2_rank17,Anthropic,0.9518,HACK_calm-bison-willow,38.70967741935484,,,False
mythos_preview_single_target_trem2_rank18,Anthropic,0.8937,HACK_azure-lion-cloud,41.666666666666664,,,False
mythos_preview_single_target_trem2_rank19,Anthropic,0.7917,HACK_wild-raven-ruby,40.0,45.0,47.099999999999994,False
mythos_preview_single_target_trem2_rank20,Anthropic,0.8096,HACK_steady-hawk-snow,41.935483870967744,,,False
mythos_preview_single_target_trem2_rank21,Anthropic,0.9166,HACK_ivory-crane-bronze,46.666666666666664,,,False
mythos_preview_single_target_trem2_rank22,Anthropic,0.8022,HACK_crimson-jaguar-willow,44.285714285714285,48.1,37.1,False
mythos_preview_single_target_trem2_rank23,Anthropic,0.9234,HACK_silver-shark-lotus,50.0,,,False
mythos_preview_single_target_trem2_rank24,Anthropic,0.8705,HACK_shy-bat-pearl,45.714285714285715,,,False
mythos_preview_single_target_trem2_rank25,Anthropic,0.7739,HACK_calm-bison-willow,35.483870967741936,,,False
mythos_preview_single_target_trem2_rank26,Anthropic,0.8483,HACK_gentle-bear-dust,26.923076923076923,,,False
mythos_preview_single_target_trem2_rank27,Anthropic,0.7371,HACK_lunar-bison-frost,38.70967741935484,41.3,85.3,False
mythos_preview_single_target_trem2_rank28,Anthropic,0.7764,HACK_pale-eagle-crystal,33.87096774193548,,,False
mythos_preview_single_target_trem2_rank29,Anthropic,0.7716,HACK_quick-otter-lotus,27.692307692307693,54.50000000000001,13.8,False
mythos_preview_single_target_trem2_rank30,Anthropic,0.7837,HACK_gentle-bear-dust,37.096774193548384,52.900000000000006,21.8,False
opus_4_8_multi_target_trem2_rank01,Anthropic,0.7244,HACK_scarlet-kiwi-ash,35.2112676056338,,,False
opus_4_8_multi_target_trem2_rank02,Anthropic,0.9041,HACK_rough-panda-ivy,41.666666666666664,,,False
opus_4_8_multi_target_trem2_rank03,Anthropic,0.7266,HACK_vast-otter-topaz,35.0,,,False
opus_4_8_multi_target_trem2_rank04,Anthropic,0.8636,HACK_azure-cobra-crystal,40.84507042253521,29.4,47.9,False
opus_4_8_multi_target_trem2_rank05,Anthropic,0.9122,HACK_misty-lion-opal,38.028169014084504,46.1,18.3,False
opus_4_8_multi_target_trem2_rank06,Anthropic,0.8098,HACK_silent-moth-topaz,50.0,,,False
opus_4_8_multi_target_trem2_rank07,Anthropic,0.7689,HACK_misty-lion-opal,38.70967741935484,,,False
opus_4_8_multi_target_trem2_rank08,Anthropic,0.909,HACK_misty-lion-opal,40.84507042253521,66.60000000000001,12.7,False
opus_4_8_multi_target_trem2_rank09,Anthropic,0.8563,HACK_shy-raven-maple,40.32258064516129,,,False
opus_4_8_multi_target_trem2_rank10,Anthropic,0.8259,HACK_silent-moth-topaz,50.0,35.4,70.0,False
opus_4_8_multi_target_trem2_rank11,Anthropic,0.7905,HACK_calm-bison-willow,38.70967741935484,,,False
opus_4_8_multi_target_trem2_rank12,Anthropic,0.739,HACK_misty-orca-jade,41.666666666666664,71.39999999999999,16.1,False
opus_4_8_multi_target_trem2_rank13,Anthropic,0.8977,HACK_azure-cobra-crystal,45.070422535211264,40.9,60.6,False
opus_4_8_multi_target_trem2_rank14,Anthropic,0.8762,HACK_shy-raven-maple,40.84507042253521,,,False
opus_4_8_multi_target_trem2_rank15,Anthropic,0.8608,HACK_rough-panda-ivy,36.61971830985915,,,False
opus_4_8_multi_target_trem2_rank16,Anthropic,0.7531,HACK_shy-bat-pearl,35.714285714285715,,,False
opus_4_8_multi_target_trem2_rank17,Anthropic,0.7359,HACK_misty-orca-jade,40.229885057471265,53.1,37.5,False
opus_4_8_multi_target_trem2_rank18,Anthropic,0.9408,HACK_wild-raven-ruby,41.1764705882353,58.8,20.0,False
opus_4_8_multi_target_trem2_rank19,Anthropic,0.9145,HACK_violet-toad-ruby,45.070422535211264,48.8,63.4,False
opus_4_8_multi_target_trem2_rank20,Anthropic,0.8844,HACK_azure-bear-leaf,43.66197183098591,81.8,14.099999999999998,False
opus_4_8_multi_target_trem2_rank21,Anthropic,0.9378,HACK_wild-raven-ruby,37.3134328358209,50.0,21.2,False
opus_4_8_multi_target_trem2_rank22,Anthropic,0.7155,HACK_solid-ox-moss,41.666666666666664,55.50000000000001,33.800000000000004,False
opus_4_8_multi_target_trem2_rank23,Anthropic,0.6958,HACK_young-boar-granite,37.5,,,False
opus_4_8_multi_target_trem2_rank24,Anthropic,0.8651,HACK_azure-cobra-crystal,40.84507042253521,34.8,91.5,False
opus_4_8_multi_target_trem2_rank25,Anthropic,0.8548,HACK_azure-bear-leaf,50.0,,,False
opus_4_8_multi_target_trem2_rank26,Anthropic,0.7739,HACK_gentle-swan-clay,41.666666666666664,30.5,45.6,False
opus_4_8_multi_target_trem2_rank27,Anthropic,0.9107,HACK_wild-otter-pearl,39.21568627450981,43.7,18.6,False
opus_4_8_multi_target_trem2_rank28,Anthropic,0.7596,HACK_calm-hawk-quartz,38.70967741935484,50.0,30.8,False
opus_4_8_multi_target_trem2_rank29,Anthropic,0.9256,HACK_azure-bear-leaf,45.0,41.6,60.0,False
opus_4_8_multi_target_trem2_rank30,Anthropic,0.8492,HACK_violet-goat-flint,40.67796610169491,61.5,22.0,False
MUNI_brisk-crane-granite,Muni,0.7614,HACK_quick-otter-lotus,33.333333333333336,,,False
MUNI_deep-gecko-maple,Muni,0.7461,HACK_calm-bison-willow,41.666666666666664,,,False
MUNI_gentle-lion-rose,Muni,0.7547,HACK_calm-bison-willow,30.681818181818183,26.400000000000002,66.3,False
MUNI_noble-bison-opal,Muni,0.7361,HACK_quick-otter-lotus,41.666666666666664,,,False
MUNI_noble-boar-reed,Muni,0.8443,HACK_silent-moth-topaz,35.0,,,False
MUNI_quiet-quail-fern,Muni,0.9284,HACK_lunar-deer-snow,33.333333333333336,,,False
MUNI_shy-boar-vine,Muni,0.8575,HACK_shy-gecko-moss,35.0,,,False
MUNI_silver-hawk-frost,Muni,0.8328,HACK_silent-moth-topaz,30.64516129032258,53.800000000000004,14.000000000000002,False
MUNI_soft-mole-rose,Muni,0.7713,HACK_brisk-crane-lotus,33.333333333333336,,,False
MUNI_steady-panda-ember,Muni,0.7475,HACK_calm-bison-willow,41.666666666666664,,,False
