full_name,workflow,model_name,campaign,rank,binder_final,kd_nM_final,denovo_structure_method,denovo_method_class,sequence_design_method,was_optimized,n_optimization_rounds,optimization_strategies,optimization_strategy_class,used_caliby_any,predict_redesign_seq_model,predict_redesign_predictor,screen_instrument_in_loop,final_gate_instruments,final_refine_step,final_sequence_step,n_steps,pipeline_n_modifying_steps,n_screens_in_lineage,n_ancestors_in_lineage,root_backbone_id,parent_design_id,design_id,fold_class_designed,binder_len,lcp_score,esmc_log_likelihood,seq_shannon_entropy_bits,seq_n_cys,uuid
mythos_preview_multi_target_trem2_rank11,mythos_preview_multi,Mythos Preview,multi-target,11,True,0.5109472977,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_bfaed77db0,,lin_45c48bfcf4,all-α,71,108.6070264983276,-1.3125,3.2912,0,578967c8-6887-5eb4-a6f4-5f66d278c39c
mythos_preview_multi_target_trem2_rank12,mythos_preview_multi,Mythos Preview,multi-target,12,True,0.5977727949,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_d3f3907247,,lin_3d12693103,all-α,115,109.36441066386462,-2.0625,3.7982,0,d98ac6c4-2d5d-529c-a5e8-f4ef0d8b36ee
mythos_preview_multi_target_trem2_rank13,mythos_preview_multi,Mythos Preview,multi-target,13,True,0.3902847404,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_309539093b,,lin_fbafc874fa,all-α,65,7.090625921411604,-1.5859375,3.5767,0,a8bf020a-6755-51a7-95a3-3c323b0a6c34
mythos_preview_multi_target_trem2_rank14,mythos_preview_multi,Mythos Preview,multi-target,14,True,4.1879556222,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,8,predict-and-redesign x6;point-mutation scan x2,Mixed,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Point-mutation scan + refold,21,10,9,7,bb_bfaed77db0,,lin_62b4955cc7,all-α,71,198.5433490859933,-1.5,3.3224,0,4337488e-13f6-51c3-afc0-96bcc3b656e3
mythos_preview_multi_target_trem2_rank15,mythos_preview_multi,Mythos Preview,multi-target,15,True,0.274915052,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,1,predict-and-redesign,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),7,3,2,2,bb_3ca0e3542f,,lin_611d1295f8,all-α,91,729.9689036620945,-1.5390625,3.1833,0,e4ed358c-6d57-5319-9509-57f10050d4fd
mythos_preview_multi_target_trem2_rank16,mythos_preview_multi,Mythos Preview,multi-target,16,True,0.493,RFdiffusion3,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_4b141e693d,,lin_193c94471e,all-α,120,1499.2152369583391,-1.3828125,3.0,0,0e67975e-ef47-50c3-9a75-80d00c298069
mythos_preview_multi_target_trem2_rank17,mythos_preview_multi,Mythos Preview,multi-target,17,True,3.5244975126,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_7feb28342c,,lin_0956ca274a,all-α,65,60.53672954825253,-1.671875,3.5908,0,39da4826-427b-5640-a04c-39807f7adb43
mythos_preview_multi_target_trem2_rank18,mythos_preview_multi,Mythos Preview,multi-target,18,True,0.186061891,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_40095afce7,,lin_651750b977,all-α,112,60.49090426165846,-1.640625,3.7151,0,5df2728a-8bdb-5b0f-a605-e9556e1416af
mythos_preview_multi_target_trem2_rank19,mythos_preview_multi,Mythos Preview,multi-target,19,True,0.2358752814,PXDesign,diffusion,SolubleMPNN,True,2,predict-and-redesign x2,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),9,4,3,2,bb_6a596932c4,,lin_74038dff10,all-α,87,89.02756541768646,-1.546875,3.53,0,ed22e9eb-854a-557a-9885-3ea1af51670a
mythos_preview_multi_target_trem2_rank20,mythos_preview_multi,Mythos Preview,multi-target,20,True,11.5560764303,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_67c2332f9b,,lin_c7c6b7306f,all-α,93,50.24033082972538,-1.6953125,3.5666,0,fc2dd5de-2f7a-5230-b85b-71af3ae5e81c
mythos_preview_multi_target_trem2_rank21,mythos_preview_multi,Mythos Preview,multi-target,21,True,0.4442977041,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,1,predict-and-redesign,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),7,3,2,2,bb_d3f3907247,,lin_9ad3da23f6,all-α,115,128.10384455318447,-2.03125,3.7332,0,b64102d1-88ac-504e-9894-b7c57637e6af
mythos_preview_multi_target_trem2_rank22,mythos_preview_multi,Mythos Preview,multi-target,22,True,1.3510462879,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,1,predict-and-redesign,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),7,3,2,2,bb_707f86ecce,,lin_372dc5f4e1,all-α,118,79.291308281679,-1.59375,3.5654,0,8a2b90c5-3e1e-5fc2-9c55-7fd5a5ae552d
mythos_preview_multi_target_trem2_rank23,mythos_preview_multi,Mythos Preview,multi-target,23,True,75.2725852484,FreeBindCraft (BindCraft),hallucination/AF2-based,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_707f86ecce,,lin_5d2f590fe5,all-α,118,1.0803285598394463,-1.5234375,3.6314,0,a723f409-7b92-5a1b-83ce-2691d2bd91f8
mythos_preview_multi_target_trem2_rank24,mythos_preview_multi,Mythos Preview,multi-target,24,True,389.2282433742,FreeBindCraft (BindCraft),hallucination/AF2-based,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_afd3f1d658,,lin_cd6f51a9cc,all-α,88,0.5147151033846442,-1.828125,3.6542,0,cea7eadf-09b3-59ac-bac4-84243f8571c2
mythos_preview_multi_target_trem2_rank25,mythos_preview_multi,Mythos Preview,multi-target,25,True,388.9966640336,FreeBindCraft (BindCraft),hallucination/AF2-based,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_6211146772,,lin_6ae4b598de,all-α,71,0.8247420757463467,-1.484375,3.5354,0,3ad65a43-1c20-5710-bb3b-6b165b4675cc
mythos_preview_multi_target_trem2_rank26,mythos_preview_multi,Mythos Preview,multi-target,26,False,,BoltzGen,diffusion,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_88c3422c61,,lin_9a3c5fc66e,all-α,64,0.0,-1.4140625,3.6599,0,cee006c3-45c2-58f4-bb46-c6670b3a8a95
mythos_preview_multi_target_trem2_rank27,mythos_preview_multi,Mythos Preview,multi-target,27,False,,BoltzGen,diffusion,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_0b6c42b817,,lin_f04facb591,all-α,85,0.586434189674562,-1.375,3.5746,0,19f4f769-450b-55bf-991a-6de55b944323
mythos_preview_multi_target_trem2_rank28,mythos_preview_multi,Mythos Preview,multi-target,28,False,,BoltzGen,diffusion,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_aa6f7eda55,,lin_0ea6476b03,all-α,67,0.8867321842917156,-1.296875,3.4832,0,d87d69a2-37de-5a29-b667-9e9524787f03
mythos_preview_multi_target_trem2_rank29,mythos_preview_multi,Mythos Preview,multi-target,29,False,,BoltzGen,diffusion,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_88c3422c61,,lin_b1eebbb4f6,all-α,64,0.3491023511210971,-1.3828125,3.6428,0,1be9a332-94fd-5a39-8834-a2de03e1ece0
mythos_preview_multi_target_trem2_rank30,mythos_preview_multi,Mythos Preview,multi-target,30,False,,BoltzGen,diffusion,Caliby (SolubleCaliby),False,0,,none,True,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Caliby (SolubleCaliby),5,2,1,1,bb_54f0191837,,lin_322a209d6d,all-β,82,0.0756618662640339,-1.5859375,3.6835,0,d0147fd4-ac6d-5c2f-8f98-edc71ae26793
mythos_preview_single_target_trem2_rank01,mythos_preview_single,Mythos Preview,single-target,1,True,29.3606876513,RFdiffusion3,diffusion,SolubleMPNN,True,19,point-mutation scan x19,Point mutagenesis,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Point-mutation scan + refold,33,14,13,2,bb_860df8ff3f,,lin_87894f2552,all-α,67,,,3.172,0,598ef785-2724-5389-bf40-290b6fda90e3
mythos_preview_single_target_trem2_rank02,mythos_preview_single,Mythos Preview,single-target,2,True,1.0959927019,RFdiffusion3,diffusion,SolubleMPNN,True,6,MPNN resample x6,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,17,8,7,7,bb_6a1a2bd1cf,,lin_0a22105348,all-α,76,,,3.1574,0,87ec145e-7249-562d-ab09-3ed47e4c6044
mythos_preview_single_target_trem2_rank03,mythos_preview_single,Mythos Preview,single-target,3,True,1.0358491158,RFdiffusion3,diffusion,SolubleMPNN,True,8,MPNN resample x8,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,21,10,9,7,bb_6a1a2bd1cf,,lin_233ea874ff,all-α,76,,,3.126,0,3410e6d1-d7d8-5117-9b0e-360e29686ea7
mythos_preview_single_target_trem2_rank04,mythos_preview_single,Mythos Preview,single-target,4,True,0.3570132026,Proteina-Complexa,flow/other,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_abb99afe20,,lin_4799862079,all-α,93,,,3.0969,0,e83866cc-44be-5ece-9f90-1de92fb44266
mythos_preview_single_target_trem2_rank05,mythos_preview_single,Mythos Preview,single-target,5,True,0.18861413,RFdiffusion3,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_db372b7b9c,,lin_3fe1fe16fa,all-α,76,,,3.0985,0,fd9c97bf-c823-5ba0-8902-ff1dce464f9e
mythos_preview_single_target_trem2_rank06,mythos_preview_single,Mythos Preview,single-target,6,True,1.1844373437,PXDesign,diffusion,SolubleMPNN,True,16,point-mutation scan x16,Point mutagenesis,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Point-mutation scan + refold,33,14,13,3,bb_5aae4c6c7a,,lin_5ff8e19af1,all-α,70,,,3.2917,0,d5de4a4f-b556-57e9-af9c-436dade773a7
mythos_preview_single_target_trem2_rank07,mythos_preview_single,Mythos Preview,single-target,7,True,0.2141540411,RFdiffusion3,diffusion,SolubleMPNN,True,2,MPNN resample x2,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,9,4,3,3,bb_db372b7b9c,,lin_5588558f2f,all-α,76,,,3.1245,0,24bfdd90-3802-5cac-b3ed-b5f18bd129a7
mythos_preview_single_target_trem2_rank08,mythos_preview_single,Mythos Preview,single-target,8,True,0.5553031380000001,RFdiffusion3,diffusion,SolubleMPNN,True,3,MPNN resample x3,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,11,5,4,4,bb_9e854f3762,,lin_eae100703a,all-α,76,,,3.4148,0,fd90ee6a-c2df-56d4-bbb7-14e72e79d22c
mythos_preview_single_target_trem2_rank09,mythos_preview_single,Mythos Preview,single-target,9,True,0.1884172794,RFdiffusion3,diffusion,SolubleMPNN,True,5,MPNN resample x5,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,15,7,6,5,bb_9e854f3762,,lin_fe96394d7c,all-α,76,,,3.4386,0,e9b30317-0db7-5af0-aefb-c7e84c7e7df4
mythos_preview_single_target_trem2_rank10,mythos_preview_single,Mythos Preview,single-target,10,True,149.0,RFdiffusion3,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_19e78e70ae,,lin_8054c55e15,all-α,63,,,3.2149,0,fe730c55-b30c-5d4d-9f57-85a652ee3829
mythos_preview_single_target_trem2_rank11,mythos_preview_single,Mythos Preview,single-target,11,True,1.06,RFdiffusion3,diffusion,SolubleMPNN,True,2,MPNN resample x2,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,9,4,3,3,bb_a99e41e355,,lin_b54cc24f29,all-α,78,,,3.159,0,b030a3fa-512d-5ac2-85a0-1db030995975
mythos_preview_single_target_trem2_rank12,mythos_preview_single,Mythos Preview,single-target,12,True,0.1896233419,PXDesign,diffusion,SolubleMPNN,True,3,MPNN resample x3,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,11,5,4,4,bb_dd1aec138d,,lin_98588b6367,all-α,70,,,2.9626,0,389ed403-f0b3-5169-aad8-de82126219c1
mythos_preview_single_target_trem2_rank13,mythos_preview_single,Mythos Preview,single-target,13,True,127.6717178016,RFdiffusion3,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_860df8ff3f,,lin_ed09feb4c3,all-α,67,,,3.2355,0,a5dccbd2-9bda-5a80-98fb-6a3c08054a83
mythos_preview_single_target_trem2_rank14,mythos_preview_single,Mythos Preview,single-target,14,True,0.1843415001,PXDesign,diffusion,SolubleMPNN,True,2,MPNN resample x2,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,9,4,3,2,bb_dd1aec138d,,lin_bc8a3335ea,all-α,70,,,2.914,0,1b9fe1ef-16f5-5218-a5a0-64aee5f6f043
mythos_preview_single_target_trem2_rank15,mythos_preview_single,Mythos Preview,single-target,15,True,0.1178208541,PXDesign,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_826b914a28,,lin_32c55aeee2,all-α,70,,,3.2191,0,a9ef8563-29c3-5986-853a-57b74dda0016
mythos_preview_single_target_trem2_rank16,mythos_preview_single,Mythos Preview,single-target,16,True,7.8905288194,RFdiffusion3,diffusion,SolubleMPNN,True,1,MPNN resample,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,7,3,2,2,bb_a99e41e355,,lin_471a09e204,all-α,78,,,3.1275,0,87bb2a3c-623a-5474-8cd3-65a60258e48b
mythos_preview_single_target_trem2_rank17,mythos_preview_single,Mythos Preview,single-target,17,True,8.1001433293,Proteina-Complexa,flow/other,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_abb99afe20,,lin_ab971330a1,all-α,93,,,3.1805,0,a4148fe2-751e-533a-a50e-f70879de6cc1
mythos_preview_single_target_trem2_rank18,mythos_preview_single,Mythos Preview,single-target,18,True,337.5133438628,RFdiffusion3,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_19e78e70ae,,lin_bcbdc17d34,all-α,63,,,3.4183,0,9be158f0-34b0-5906-9028-a8ad64649d82
mythos_preview_single_target_trem2_rank19,mythos_preview_single,Mythos Preview,single-target,19,True,0.0665324999,PXDesign,diffusion,SolubleMPNN,True,5,MPNN resample x5,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,15,7,6,4,bb_5aae4c6c7a,,lin_c31925046a,all-α,70,,,3.1502,0,1b667536-e09f-5e5b-bd8e-2cc05b0e4fc0
mythos_preview_single_target_trem2_rank20,mythos_preview_single,Mythos Preview,single-target,20,True,0.3624693603,PXDesign,diffusion,SolubleMPNN,False,0,,none,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,SolubleMPNN,5,2,1,1,bb_6aa6317478,,lin_924efe71f8,all-α,70,,,3.0706,0,2c0e94ab-da47-56cc-9594-74615c1c7aff
mythos_preview_single_target_trem2_rank21,mythos_preview_single,Mythos Preview,single-target,21,True,6.4142307638,PXDesign,diffusion,SolubleMPNN,True,2,MPNN resample x2,Predict-&-redesign,False,,,"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Multi-seed SolubleMPNN resample + refold,9,4,3,3,bb_94c3f7d23c,,lin_099b285618,all-α,60,,,2.8736,0,52e837de-0120-501e-8219-f9c4b7575a0c
