design,collection,best_tm_own,best_tm_other,best_sid_own,best_sid_other,nearest_other
mythos_preview_single_target_trem2_rank16,Anthropic,0.9864,0.8319,51.282051282051285,28.205128205128204,MUNI_silver-hawk-frost
mythos_preview_single_target_trem2_rank17,Anthropic,0.9789,0.6389,67.74193548387096,23.655913978494624,MUNI_noble-boar-reed
mythos_preview_single_target_trem2_rank18,Anthropic,0.9826,0.7533,66.66666666666667,28.571428571428573,MUNI_silver-hawk-frost
mythos_preview_single_target_trem2_rank19,Anthropic,0.9304,0.6529,70.0,31.428571428571427,MUNI_shy-boar-vine
mythos_preview_single_target_trem2_rank20,Anthropic,0.8157,0.604,43.28358208955224,24.285714285714285,MUNI_silver-hawk-frost
mythos_preview_single_target_trem2_rank21,Anthropic,0.7803,0.8097,48.333333333333336,30.0,MUNI_shy-boar-vine
mythos_preview_single_target_trem2_rank22,Anthropic,0.7653,0.6358,38.57142857142857,27.142857142857142,MUNI_quiet-quail-fern
mythos_preview_single_target_trem2_rank23,Anthropic,0.9079,0.6255,46.15384615384615,25.641025641025642,MUNI_quiet-quail-fern
mythos_preview_single_target_trem2_rank24,Anthropic,0.8521,0.6648,42.857142857142854,25.714285714285715,MUNI_noble-boar-reed
mythos_preview_single_target_trem2_rank25,Anthropic,0.964,0.6461,83.87096774193549,32.25806451612903,MUNI_shy-boar-vine
mythos_preview_single_target_trem2_rank26,Anthropic,0.9137,0.82,47.43589743589744,16.666666666666668,MUNI_gentle-lion-rose
mythos_preview_single_target_trem2_rank27,Anthropic,0.964,0.6029,83.87096774193549,32.25806451612903,MUNI_gentle-lion-rose
mythos_preview_single_target_trem2_rank28,Anthropic,0.948,0.6415,51.61290322580645,14.516129032258064,MUNI_quiet-quail-fern
mythos_preview_single_target_trem2_rank29,Anthropic,0.8284,0.5843,31.884057971014492,15.0,MUNI_soft-mole-rose
mythos_preview_single_target_trem2_rank30,Anthropic,0.9014,0.7398,47.43589743589744,25.641025641025642,MUNI_soft-mole-rose
opus_4_8_multi_target_trem2_rank01,Anthropic,0.9769,0.7802,70.4225352112676,28.169014084507044,MUNI_gentle-lion-rose
opus_4_8_multi_target_trem2_rank02,Anthropic,0.9825,0.8545,87.32394366197182,26.760563380281692,MUNI_shy-boar-vine
opus_4_8_multi_target_trem2_rank03,Anthropic,0.9769,0.7713,70.4225352112676,29.577464788732396,MUNI_brisk-crane-granite
opus_4_8_multi_target_trem2_rank04,Anthropic,0.9477,0.6844,67.6056338028169,26.760563380281692,MUNI_steady-panda-ember
opus_4_8_multi_target_trem2_rank05,Anthropic,0.9882,0.7153,59.15492957746479,29.577464788732396,MUNI_silver-hawk-frost
opus_4_8_multi_target_trem2_rank06,Anthropic,0.9899,0.7866,72.94117647058823,24.705882352941178,MUNI_shy-boar-vine
opus_4_8_multi_target_trem2_rank07,Anthropic,0.9888,0.7655,59.15492957746479,23.943661971830984,MUNI_noble-boar-reed
opus_4_8_multi_target_trem2_rank08,Anthropic,0.9882,0.7273,59.15492957746479,30.985915492957748,MUNI_silver-hawk-frost
opus_4_8_multi_target_trem2_rank09,Anthropic,0.9613,0.6978,69.01408450704226,25.35211267605634,MUNI_quiet-quail-fern
opus_4_8_multi_target_trem2_rank10,Anthropic,0.9899,0.7843,72.94117647058823,25.88235294117647,MUNI_shy-boar-vine
opus_4_8_multi_target_trem2_rank11,Anthropic,0.9888,0.7588,59.15492957746479,28.169014084507044,MUNI_noble-boar-reed
opus_4_8_multi_target_trem2_rank12,Anthropic,0.7085,0.5498,73.5632183908046,29.885057471264368,MUNI_steady-panda-ember
opus_4_8_multi_target_trem2_rank13,Anthropic,0.9477,0.737,67.6056338028169,26.760563380281692,MUNI_noble-bison-opal
opus_4_8_multi_target_trem2_rank14,Anthropic,0.9613,0.7012,69.01408450704226,30.985915492957748,MUNI_quiet-quail-fern
opus_4_8_multi_target_trem2_rank15,Anthropic,0.9825,0.8463,87.32394366197182,33.80281690140845,MUNI_shy-boar-vine
opus_4_8_multi_target_trem2_rank16,Anthropic,0.9374,0.6729,71.42857142857143,21.428571428571427,MUNI_silver-hawk-frost
opus_4_8_multi_target_trem2_rank17,Anthropic,0.7045,0.6188,73.5632183908046,26.436781609195403,MUNI_deep-gecko-maple
opus_4_8_multi_target_trem2_rank18,Anthropic,0.9816,0.6264,61.1764705882353,25.88235294117647,MUNI_silver-hawk-frost
opus_4_8_multi_target_trem2_rank19,Anthropic,0.889,0.786,42.25352112676056,22.535211267605632,MUNI_noble-boar-reed
opus_4_8_multi_target_trem2_rank20,Anthropic,0.7813,0.8407,40.84507042253521,29.577464788732396,MUNI_quiet-quail-fern
opus_4_8_multi_target_trem2_rank21,Anthropic,0.9816,0.6284,61.1764705882353,24.705882352941178,MUNI_steady-panda-ember
opus_4_8_multi_target_trem2_rank22,Anthropic,0.9613,0.8381,82.27848101265823,27.848101265822784,MUNI_shy-boar-vine
opus_4_8_multi_target_trem2_rank23,Anthropic,0.9374,0.6733,71.42857142857143,23.214285714285715,MUNI_noble-boar-reed
opus_4_8_multi_target_trem2_rank24,Anthropic,0.8041,0.6803,43.66197183098591,29.577464788732396,MUNI_noble-bison-opal
opus_4_8_multi_target_trem2_rank25,Anthropic,0.8412,0.6328,51.21951219512195,25.609756097560975,MUNI_silver-hawk-frost
opus_4_8_multi_target_trem2_rank26,Anthropic,0.9613,0.8496,82.27848101265823,25.31645569620253,MUNI_shy-boar-vine
opus_4_8_multi_target_trem2_rank27,Anthropic,0.8664,0.5846,43.333333333333336,31.3953488372093,MUNI_noble-boar-reed
opus_4_8_multi_target_trem2_rank28,Anthropic,0.9137,0.723,37.3134328358209,26.865671641791046,MUNI_gentle-lion-rose
opus_4_8_multi_target_trem2_rank29,Anthropic,0.9024,0.8256,45.0,25.0,MUNI_noble-boar-reed
opus_4_8_multi_target_trem2_rank30,Anthropic,0.6708,0.5429,40.67796610169491,28.8135593220339,MUNI_quiet-quail-fern
